country,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,group
 　香港,77831,53848,80692,84218,90078,87135,96312,89712,91814,91610,87042,88660,58950,73665,86202,84278,78624,81510,77955,81302,76420,94989,85356,88780,89398,65332,102629,96539,98483,98063,92080,94152,97764,102166,100866,100100,84250,78595,109289,94775,82418,80648,80055,87618,86307,90446,94698,91795,75190,89107,93701,91804,102054,88437,96602,92242,95311,97145,92584,85716,90640,59534,87631,89796,87445,82501,88584,89688,99788,110575,101355,106245,87072,78088,96865,103807,95888,96308,108920,110535,115976,109412,104950,107115,100289,68790,111176,105306,100245,107044,111450,112291,119866,105980,100504,102827,94521,65541,98569,94415,92316,87807,87920,102480,91935,83065,70118,55299,49665,63372,85718,72045,75624,78985,77195,92723,92161,93350,92145,97205,102166,65970,104584,99541,114601,104835,100989,99057,103242,103617,94048,99482,93890,72031,105762,106201,100047,92107,104764,97872,109957,101439,92586,99035,69595,81365,98244,89477,92447,94791,95914,99863,107501,98301,93394,99893,93107,63731,102065,97212,98934,95324,91074,100813,104077,99679,108730,112696,93448,86688,111974,106265,114176,104281,103750,112492,107692,118474,112769,115042,115349,72545,108674,98615,104583,90178,98321,101616,104251,114403,97710,101013,亞洲
 　印尼,4023,3855,4528,5046,5532,4789,4751,4374,4351,4985,4448,3409,3938,3568,4409,4511,4274,4486,4179,4103,4444,5155,3746,3070,3575,3527,4579,4871,4347,4476,4444,4004,4166,4930,3445,4469,3755,3203,5202,4511,4400,4886,4219,4225,4594,4774,4172,4589,3873,4287,5383,5531,6263,5164,5317,5588,5529,6127,4943,5373,8633,4091,6090,6411,5943,6140,5393,5576,6409,8318,6772,5970,5887,4098,5488,4966,6639,7612,6522,8052,8017,6719,9827,7452,8350,5428,6712,7449,7548,7815,7376,9328,8180,7858,9069,10286,8147,6404,10843,9286,10931,10296,7807,12057,7529,12151,10873,5512,4849,6536,7029,6025,9001,7325,8452,11966,10160,12377,11150,11193,9946,8496,12191,8758,14228,13138,16852,8604,10170,14568,14236,10908,13281,9910,14957,12500,15440,10267,11957,7289,8838,14669,12337,10535,12398,11924,12448,11808,13486,12962,10498,9483,17586,15268,13423,12051,13155,10987,16175,10736,13688,12779,12842,11063,11458,14364,12439,12682,11462,7317,11621,11018,9505,10840,6006,10511,9040,9462,9299,9947,8938,8410,9706,8877,9098,8790,5693,7548,6480,7286,8369,7037,亞洲
 　日本,39235,33197,43485,40173,45142,45742,47576,41225,43977,50346,48601,47079,39958,40956,44559,38017,35963,39594,35002,30517,27789,36636,34639,33932,34354,30967,40122,35124,38849,39454,35275,32399,32696,35306,36614,35831,32227,32341,38989,34212,35644,37389,35419,33990,34462,36293,37932,38268,35215,36466,38984,36792,40098,36755,40899,38802,39857,39732,39820,38230,41804,32892,39365,41750,38772,36194,40516,37398,41247,45560,44168,45557,40341,41213,45286,43186,39885,41983,45566,43871,48532,46813,46047,46924,47163,38651,50515,44362,40498,41278,42272,41048,43502,43176,40569,49428,44268,37706,48966,45321,45997,45318,45920,51068,47918,49982,49352,39802,37093,35580,35932,34153,38033,39687,39664,42333,42851,46096,45112,41294,46757,38275,47938,44671,49379,45762,51774,52305,50750,50488,47427,42447,46461,39946,42952,47673,45100,41545,48359,42879,42527,49378,45054,42859,40715,42048,42007,43325,48674,46334,49686,47188,55273,48514,49385,48016,45913,41947,49022,44694,44635,50541,50417,46970,49273,49144,49364,47166,49794,40563,54026,43983,46627,53334,49381,55345,55354,52722,52795,48057,54173,47405,49583,49521,51430,48493,50982,51114,51037,56848,52883,47805,亞洲
 　韓國,9857,7599,10021,10388,10491,10489,11259,10104,10278,11512,11691,10905,9205,9223,9487,9380,8623,9288,8883,9069,9105,11054,10355,9994,10208,9220,11723,11953,11995,11390,10673,10626,11672,10992,13211,13182,12074,12752,15380,13289,12326,13292,12165,14079,13329,13386,15186,14599,13193,14791,14723,16035,17565,15943,17669,17059,16668,15996,15368,13316,14545,11029,14750,15583,16183,13545,15831,16547,16069,17501,19113,18156,16548,16307,19042,20017,20106,18628,21747,18684,20334,20231,20106,20656,21496,16714,21970,21078,19486,19976,20266,20350,22104,22910,23580,25551,26074,21547,25742,22662,24413,23333,25982,27750,23751,22456,16784,12076,14573,13954,18175,19306,19893,22745,22839,22379,21802,23317,21657,19914,25272,22163,27943,26816,29343,28034,29872,29151,30078,32109,29115,26832,31495,27240,30310,34553,29306,28001,33531,30191,28249,33501,28581,28088,27582,27724,31231,29720,27969,29274,29147,27181,29443,31683,29635,29361,31597,23828,33336,29623,30518,33492,31658,30734,31433,29340,26513,25533,28376,25099,30637,33624,30989,32072,33542,35244,31486,34629,35399,32693,39278,30651,36983,34552,32806,28902,34346,32639,30932,38505,29810,28705,亞洲
 　中國大陸,8560,7463,9564,9831,12279,11746,13470,11902,13138,13450,12979,12402,9608,12025,13833,13506,12873,13782,14235,14614,13509,16032,15202,16014,17375,12886,28401,27488,27363,27783,30110,33047,37300,37697,39564,44021,38006,36758,51248,47374,59919,62577,67033,78040,79652,80936,91524,91910,78049,92110,95523,95212,110885,104611,106120,109410,105366,107036,111976,99043,112041,76741,108182,108601,114033,107488,116221,120124,123601,140208,137067,138644,118201,121417,137101,139653,139300,130269,140165,143348,152349,152971,159069,149736,154424,99402,159627,161035,159209,159756,169895,177347,202914,198531,195813,207984,195187,149070,214918,187392,201981,219425,183289,206407,168106,156869,115949,91916,72833,106058,133226,136355,148394,151471,155893,178973,177225,173920,177004,174458,202401,145829,222751,207071,237553,199445,211214,213399,187658,198138,204018,196323,205151,181921,225857,219712,220887,191783,217621,208064,188312,217727,195771,189186,158467,192006,209716,200993,203025,194373,202090,200094,214396,209405,196203,204129,205285,148427,223472,197424,209131,211116,204958,206769,191662,200091,210310,212637,183939,169972,220106,208255,219386,215135,211199,222552,200598,208143,217192,207817,213369,147509,208754,185927,206288,180924,181964,193830,173237,197792,184637,182100,亞洲
 　馬來西亞,9042,6754,9196,9378,9950,9785,11549,9877,9802,10657,9151,9538,8360,7296,8534,8622,8501,9612,9477,8388,8438,10869,8495,9189,8083,6655,10353,9565,10698,9585,9914,9098,9055,9421,9443,9094,7421,7212,9414,8824,9342,8927,8867,9696,9111,9916,9924,10327,8807,10368,11347,11454,12466,11446,12223,12314,12891,13916,11801,12008,12480,9163,11005,12598,11707,10563,11249,11399,11178,12565,11731,11744,10696,10481,12015,13777,13012,13252,15347,14643,14677,15247,13640,13808,14120,10362,14545,14548,14210,14104,15347,16749,15261,17070,14826,15605,14793,13375,16254,14090,15775,16140,15826,17708,14746,14614,10864,8427,6410,6784,8907,9979,10461,11012,12923,12040,13531,12341,13875,15262,15042,11719,15761,16681,16930,15262,16435,16872,15104,15965,15869,15851,15251,12778,15753,19694,17156,17492,20257,16559,14339,19461,15552,17868,14619,15166,15773,16707,16109,14908,17253,16081,18447,15898,15215,17623,21546,12947,16220,17811,18952,21407,20608,21884,25890,19979,23515,21544,20393,20110,24165,22961,21436,23426,23989,23338,20817,18773,19303,21759,18155,17747,19158,17164,19452,19260,21132,20808,18712,18462,16968,18901,亞洲
 　新加坡,12402,8534,11386,12372,14098,14315,16946,15827,16297,18211,17951,17436,13703,13020,13015,11612,11200,10983,10813,10232,10107,12608,11514,13151,11871,10513,12817,13511,13367,13220,13648,13598,13220,14316,14049,15402,11561,12293,15295,13809,13854,14503,16975,15375,16002,15808,17012,18654,16598,20135,18337,16433,19038,19266,18452,19082,20343,21869,17456,18643,17250,14670,17454,20467,21567,18714,20290,19317,26022,30817,27155,25209,22180,19560,23599,27845,24362,33174,30572,21645,26549,23915,23368,24562,29762,19090,21061,24763,23481,29364,26660,34051,35297,35683,29483,35496,37088,26140,32070,26339,30941,29790,34516,39135,29263,36531,26325,18131,18318,15964,18020,17894,20752,27751,26384,27162,26089,28305,28510,28108,29925,22950,27088,25992,41285,35490,40781,35031,31411,30585,29534,31539,36856,34902,37207,38762,41390,36590,45046,36622,40663,45102,56603,46096,40237,46953,50161,46390,52516,47464,42602,53315,58247,52678,52505,50504,45080,43966,50336,47325,53085,59325,47973,46909,46293,48371,43853,45413,39296,38565,57428,51646,52149,55899,54721,58981,49530,56910,56896,49202,45339,41283,49225,47793,51845,46683,45112,47591,44455,45409,40971,40604,亞洲
 　泰國,6797,5202,6612,6394,7346,7407,7611,6960,7061,7331,7289,6504,6172,5992,6539,6318,5971,6781,6216,5752,4907,6884,6226,6215,6167,5688,8478,6918,7001,6723,6747,6333,6721,7120,6941,6901,6713,6352,8745,7127,7353,7458,7308,7807,7195,8039,8367,8228,7465,9205,9507,8990,10449,9193,9451,9235,9515,9842,9748,8337,10138,8173,9807,10013,11628,9429,9232,9254,9872,11296,11348,12489,11948,10833,12637,13438,11482,12222,13002,12965,12879,12458,12233,12583,12929,10982,15473,15085,14727,15179,14451,14036,14219,14503,14567,14401,14306,11636,13904,12723,13374,15275,13080,13640,13055,12994,10816,9021,7880,7319,10160,9053,9212,10296,11039,11679,12108,12849,12314,12095,12848,10994,14729,13416,14886,14252,14522,14697,14274,15033,13692,13421,15769,12551,16772,15140,16515,14869,16756,16359,14746,14758,11330,14315,14263,15684,17391,16924,17632,16421,17209,15281,17752,16412,14986,14135,15055,13424,17504,16005,17257,17399,16594,15540,15484,15520,14191,13658,14643,11901,17415,14613,16178,15538,15592,15732,15745,16655,16352,13957,16166,14122,16980,14582,15235,15076,15019,14864,14764,15838,13520,13137,亞洲
 　越南,4193,2798,4168,5059,5421,4205,3882,3592,4104,4746,4734,5395,3168,3832,4803,5808,5521,5063,5037,4137,4368,6157,5174,5736,5032,3292,6541,7020,6924,6783,6043,6146,6799,7862,8482,8838,5988,5495,8897,8021,8202,7783,6300,7092,7269,8556,9526,8908,5837,7456,9533,11010,11293,9972,8582,9537,9977,12213,10188,9753,8857,8110,11567,12937,14108,9746,9610,9078,9942,13341,12232,12123,10574,10194,12097,13438,14991,15025,14347,13641,12292,14205,13535,13805,15867,10449,16528,19575,18252,19177,17707,19162,17164,22881,21909,26160,23746,16578,25504,22235,22861,23524,21883,25102,19113,16954,17257,14041,10336,12999,17448,16796,18779,18460,14912,19037,17267,16004,17709,17739,17098,11732,22096,20460,21496,18825,21109,22319,20922,21782,20089,19524,21477,18351,23025,23378,28113,24879,21683,18517,19209,23257,24011,18725,13566,20334,26197,22574,19716,22305,22691,18141,26609,18727,18699,19633,20829,13915,25050,21291,21379,25379,20102,23885,24513,24798,20478,22695,20501,20652,30502,26651,25645,24781,25669,25602,27081,25460,24229,25145,25443,17541,30794,23394,29021,24728,22664,25478,25115,25762,25737,24542,亞洲
 　科威特,189,117,134,171,199,165,159,210,214,167,167,195,193,148,148,157,160,166,179,176,117,233,202,247,225,168,205,203,154,168,228,195,248,261,305,227,185,249,238,239,178,246,230,248,242,266,222,275,230,192,324,241,340,315,288,247,307,322,285,245,228,141,318,327,309,349,320,348,313,396,299,350,265,205,390,324,316,191,352,298,278,283,278,350,317,251,376,345,343,335,403,337,365,402,324,418,474,274,419,308,332,406,351,392,425,488,311,272,416,425,550,441,416,384,361,525,372,367,348,256,359,290,390,333,379,344,470,456,405,342,412,303,316,272,514,365,426,410,440,389,414,538,460,458,396,326,462,408,585,386,482,330,429,460,430,497,436,400,555,729,639,680,741,468,496,554,477,666,446,372,526,616,643,694,584,609,497,437,428,449,526,714,621,487,504,569,555,555,648,541,423,451,中東
 　沙烏地阿拉伯,930,703,813,755,1039,928,911,947,932,1051,1030,908,880,858,853,930,951,1085,979,1066,955,1272,882,942,937,757,1002,1048,983,891,1126,949,1073,912,941,980,928,665,1068,858,1080,1231,1280,1034,1131,1027,1093,1038,1037,796,1290,1232,1336,1183,1323,1280,1487,1050,1326,1057,1246,1563,1309,1285,1320,1417,1404,1243,1137,1178,1258,1531,1082,1146,1180,1332,1450,1225,1424,1537,2300,1638,1651,1261,2069,1674,1801,2017,2743,2271,2478,1762,1702,1945,1427,2170,2045,1599,1964,2142,2284,2586,2458,5001,3864,3028,2122,2025,1947,994,1898,1642,1743,1775,2708,2706,1534,1601,1827,1851,1916,1442,2083,2320,2648,2312,3886,5092,2138,2608,2856,2307,4399,1919,4656,4475,2885,6655,5436,3233,2953,6387,3770,2778,3345,3282,3431,9567,5420,3510,6477,4865,3715,4648,3289,3235,4162,6548,7724,3698,4037,5878,4063,3528,3818,2747,3864,3693,3676,4734,6615,8757,6675,5066,4255,4607,3797,4048,4498,4551,4629,3969,4553,4164,5006,4311,4941,5014,4784,4228,3765,4285,中東
 　法國,5644,3199,4213,4231,4280,3818,4437,3872,4090,4254,4968,4612,3699,3250,3740,3887,3031,3174,3042,2689,2708,3593,3643,3387,3985,2505,4224,2797,2708,3538,2741,2935,2842,3477,4435,3211,2908,2812,3223,3084,3003,6067,4044,2904,3220,3739,4282,4393,3802,4236,4354,4115,4522,3795,4508,4673,4472,4439,5219,5041,4329,3637,3940,3958,3592,3274,2995,3482,3541,4369,4965,4617,4291,3887,3857,4298,4235,4004,3927,3855,3804,4282,4312,6090,3850,3519,4197,4615,4679,4347,5105,4630,4839,5085,6611,4431,4820,4441,4694,4465,4843,4655,4373,4694,4325,5028,3845,4167,3768,3032,3854,3480,3774,3470,3723,3469,3651,4137,4428,4347,4505,3753,4617,4051,4575,4138,4333,4421,4491,4372,5363,4835,4448,3780,4781,4787,4597,3916,4662,4012,3553,4436,4253,3907,4478,3850,3970,4479,3614,3514,3930,3364,3370,3877,3382,4286,3764,2715,4114,4030,4029,3477,3627,3400,3589,3819,3398,4035,4356,3338,4480,4040,4086,3918,3780,3931,3328,3506,3631,3776,4050,3201,3767,3200,3881,3388,3487,3727,3288,3506,4161,3640,歐洲
 　德國,12213,8873,11648,12925,11770,10983,12314,12259,13655,16474,16115,14640,12848,13322,14819,13101,10490,10415,10132,10070,10557,16395,16655,13912,11202,9634,11786,11239,10408,9065,9678,9706,11714,12837,13151,13875,11672,12436,12609,11931,10516,10275,10527,12173,12189,13921,14341,14599,12818,13057,14773,11667,11809,11883,11085,11197,12359,15579,14109,13635,12240,9797,12163,10894,13262,8972,10346,11895,11340,14286,14734,13490,13373,13135,13993,16274,13039,12474,14643,13006,13004,13822,12802,13049,13358,11472,13084,13383,13989,12980,14940,14649,15265,15970,14505,16068,18307,12868,15957,14608,14484,14578,16153,15321,15132,16097,13548,12978,11321,10233,12390,11212,11298,10902,13106,13933,15062,15444,14798,14981,15658,13173,17395,15134,18708,15341,18086,19312,17432,19072,17775,18080,17501,14133,20501,17502,19027,16812,17115,15638,16432,17180,14309,15202,14600,14183,14244,14443,14871,13682,13996,13776,13309,14164,11746,13868,14225,10995,13860,14470,13504,13768,15187,13436,13842,15155,12907,15178,14896,12629,15518,16412,14977,16005,16691,16137,15907,15199,15429,15990,15508,14503,16569,14459,15578,14865,15648,16209,16197,16521,15239,16796,歐洲
 　義大利,4305,3329,4396,4228,4399,3973,3033,3495,3248,3802,3979,4167,3553,3753,4477,4061,3485,3614,2265,3125,2434,3843,4053,3732,3654,3396,3835,3962,3792,3631,2485,3126,3549,3991,3811,4336,3581,3694,4733,4751,4300,4331,2859,3905,3891,4408,4666,5323,4134,4765,5496,4759,5969,4960,3164,4754,4257,4786,5770,5261,5539,4360,5661,5334,5180,4400,3362,4601,4268,5242,4760,4907,4943,4469,5394,5468,6017,5461,4572,8144,5428,6348,7477,7624,7173,6143,7081,7427,7476,7782,4767,7065,5801,5578,6063,6731,6575,6048,7339,6898,7017,7203,4701,8112,5612,6590,5670,5084,5124,3873,4901,4880,4991,5065,3606,5459,5297,5161,4813,5732,5255,4608,6455,5747,7074,6405,4840,7429,6334,6762,8198,7861,7204,6039,7537,6198,7207,6218,5629,5710,5232,5198,4468,5383,5000,4229,5168,5571,5290,4612,3652,4137,4112,4216,3583,4610,4372,3201,5093,4333,4717,4087,3502,4230,4374,4073,3866,4909,5224,4153,4942,5394,4969,4916,4180,5046,4974,4242,4030,4965,4397,4159,4479,4068,4804,4492,3975,5140,4590,4113,3874,5676,歐洲
 　英國,12339,8585,12030,12462,11660,10728,12119,12062,12826,12910,12395,12807,9507,10088,11673,10043,8222,9025,8676,8273,7525,11065,10067,9371,7700,7303,9870,9106,9144,8366,8239,8008,8085,8961,9143,9185,6872,7167,8962,8708,7528,8008,8209,8481,8973,8507,9692,9602,7447,7774,9900,8906,9792,10599,9744,10116,10564,10262,10266,9331,8350,6803,8158,8868,9730,7935,8995,8701,8641,9875,9645,9012,8837,7521,9464,9289,9973,9543,9461,9693,9795,10838,9864,9777,10843,8268,9335,9853,10018,9247,10448,9113,10278,11040,10056,10133,9011,7990,9141,9147,12404,13418,9102,10364,8866,8697,7487,8067,5779,5032,7888,6483,8323,7655,7912,9687,8315,9659,12007,9338,8051,6540,9382,8492,10846,8920,9968,9519,9663,11219,10955,10444,10254,8158,12071,12615,11765,9809,8900,12509,12603,15315,9349,12320,10185,9975,15230,17609,13239,9942,10338,9464,13215,14580,11402,14332,12132,8806,11632,9646,9187,10838,9551,9637,12343,13316,9905,10874,10573,8868,11157,11863,11191,9892,10696,10985,10914,11011,9247,10539,10012,8339,10721,9379,10290,9384,10238,10408,10314,9982,10496,10297,歐洲
 　奈及利亞,347,284,283,376,395,326,397,340,401,332,325,478,304,274,376,437,350,335,395,427,299,657,370,496,332,430,586,466,451,362,505,432,434,409,423,471,551,432,611,529,545,535,548,579,495,403,397,491,407,461,523,419,474,435,554,405,491,420,469,388,465,423,607,543,563,464,369,450,410,596,414,421,459,407,272,469,427,482,487,597,533,602,381,457,496,537,522,433,460,524,570,540,580,510,438,598,585,634,970,760,685,724,673,740,813,753,609,814,668,797,866,864,588,509,581,746,662,663,617,498,873,441,650,612,554,453,508,513,523,597,570,769,733,466,591,787,506,555,626,657,486,524,529,730,623,433,623,709,485,338,464,374,466,450,390,428,501,532,572,716,543,500,647,1028,747,802,450,753,575,349,598,655,501,505,772,478,646,411,614,407,473,344,372,508,461,285,391,365,309,294,348,402,非洲
 　加拿大,4938,4050,4997,4696,5049,4562,5259,4749,5257,5316,4940,4997,4567,3916,4905,4621,4188,4313,4732,4246,4299,5191,3845,4352,4243,3557,5049,4526,4143,4334,4827,4376,4422,5012,4432,4333,3973,3629,4758,4446,4150,3982,4199,4032,4220,4281,4258,5044,3990,3741,4652,4610,4977,4640,4474,4941,4989,4642,4597,4962,4472,3847,4578,4591,4918,4071,4194,4518,4766,4818,4514,4934,5040,3350,4932,5132,4390,4893,4702,5478,4721,5306,4735,4852,5251,4604,4221,4816,5449,5101,4942,5459,4846,4977,5790,5220,4975,3702,4979,4689,4460,4902,4702,5630,4827,5489,5307,4610,4852,3763,4096,4081,4106,3249,4227,3759,3476,4448,3878,4263,3798,3875,4377,4440,5523,4670,5798,5411,5326,5943,6068,6100,5250,4386,7855,5400,6524,5202,7223,7530,5457,6960,5521,8122,5855,5500,6857,6313,6662,6041,5967,6496,5914,6107,6464,5846,5622,4741,5537,6232,6783,6143,6142,6471,5432,6442,5663,6150,6553,4619,7034,6310,6448,6274,5891,6103,6707,5787,5330,6773,6886,5573,6691,6890,5966,6470,5753,6173,6381,5496,6066,5985,北美洲
 　美國,89532,70010,87754,85577,96239,90257,100829,101637,96521,100478,94706,93937,77826,71358,85893,79395,76728,81860,80846,80088,69718,92927,74847,76265,73118,61314,82000,79753,78783,82379,86099,78588,81300,78104,84905,77719,69074,64847,80242,77489,72926,74911,78629,77874,80000,77501,76712,82256,65225,64038,82150,71325,86060,83746,83140,87401,84612,85759,86661,81225,74273,59800,78960,70341,81469,75660,77100,82100,76605,85521,89902,82770,84843,66348,84120,91697,90475,82285,97229,98176,94116,92620,85993,83515,87369,73120,80344,86990,88605,89338,95920,87103,86754,94812,89643,91862,85803,65192,81279,81299,78378,79865,83429,91064,87375,82583,78590,72424,64405,51836,70953,59946,61329,60963,64485,63607,64813,69219,72493,72654,70605,60624,77966,73137,83374,92342,92465,93613,86810,89642,89668,81674,81325,68647,87405,94449,98572,94682,101662,89877,82452,98112,86169,82765,74297,69131,80370,79650,88476,84334,84365,85555,86221,85356,78642,78328,73630,60474,79243,84583,88400,81734,85776,86050,79156,86218,79774,79298,79769,65209,89447,91805,90899,92168,87747,90390,86681,93026,92215,95673,91393,77804,93025,95801,94229,86600,91491,89905,93751,90953,87414,93121,北美洲
