country,Y2000M01,Y2000M02,Y2000M03,Y2000M04,Y2000M05,Y2000M06,Y2000M07,Y2000M08,Y2000M09,Y2000M10,Y2000M11,Y2000M12,Y2001M01,Y2001M02,Y2001M03,Y2001M04,Y2001M05,Y2001M06,Y2001M07,Y2001M08,Y2001M09,Y2001M10,Y2001M11,Y2001M12,Y2002M01,Y2002M02,Y2002M03,Y2002M04,Y2002M05,Y2002M06,Y2002M07,Y2002M08,Y2002M09,Y2002M10,Y2002M11,Y2002M12,Y2003M01,Y2003M02,Y2003M03,Y2003M04,Y2003M05,Y2003M06,Y2003M07,Y2003M08,Y2003M09,Y2003M10,Y2003M11,Y2003M12,Y2004M01,Y2004M02,Y2004M03,Y2004M04,Y2004M05,Y2004M06,Y2004M07,Y2004M08,Y2004M09,Y2004M10,Y2004M11,Y2004M12,Y2005M01,Y2005M02,Y2005M03,Y2005M04,Y2005M05,Y2005M06,Y2005M07,Y2005M08,Y2005M09,Y2005M10,Y2005M11,Y2005M12,Y2006M01,Y2006M02,Y2006M03,Y2006M04,Y2006M05,Y2006M06,Y2006M07,Y2006M08,Y2006M09,Y2006M10,Y2006M11,Y2006M12,Y2007M01,Y2007M02,Y2007M03,Y2007M04,Y2007M05,Y2007M06,Y2007M07,Y2007M08,Y2007M09,Y2007M10,Y2007M11,Y2007M12,Y2008M01,Y2008M02,Y2008M03,Y2008M04,Y2008M05,Y2008M06,Y2008M07,Y2008M08,Y2008M09,Y2008M10,Y2008M11,Y2008M12,Y2009M01,Y2009M02,Y2009M03,Y2009M04,Y2009M05,Y2009M06,Y2009M07,Y2009M08,Y2009M09,Y2009M10,Y2009M11,Y2009M12,Y2010M01,Y2010M02,Y2010M03,Y2010M04,Y2010M05,Y2010M06,Y2010M07,Y2010M08,Y2010M09,Y2010M10,Y2010M11,Y2010M12,Y2011M01,Y2011M02,Y2011M03,Y2011M04,Y2011M05,Y2011M06,Y2011M07,Y2011M08,Y2011M09,Y2011M10,Y2011M11,Y2011M12,Y2012M01,Y2012M02,Y2012M03,Y2012M04,Y2012M05,Y2012M06,Y2012M07,Y2012M08,Y2012M09,Y2012M10,Y2012M11,Y2012M12,Y2013M01,Y2013M02,Y2013M03,Y2013M04,Y2013M05,Y2013M06,Y2013M07,Y2013M08,Y2013M09,Y2013M10,Y2013M11,Y2013M12,Y2014M01,Y2014M02,Y2014M03,Y2014M04,Y2014M05,Y2014M06,Y2014M07,Y2014M08,Y2014M09,Y2014M10,Y2014M11,Y2014M12,Y2015M01,Y2015M02,Y2015M03,Y2015M04,Y2015M05,Y2015M06,Y2015M07,Y2015M08,Y2015M09,Y2015M10,Y2015M11,Y2015M12,group
香港,6550,3866,5704,6095,6634,5954,6031,5689,6840,7187,7227,6058,5707,5086,6409,6844,5687,5219,5173,5441,5193,7144,5661,5702,5079,3762,5886,6004,5306,5303,5366,5654,5636,6668,5795,5832,5432,3488,5749,5563,4562,5064,4715,5014,5953,6798,6531,7139,5255,6186,6797,6619,7438,6498,5978,6551,6356,7050,6755,5946,6723,3517,5699,6044,6518,4840,5165,5264,6143,6439,6031,5525,4784,4640,4933,4845,4976,4803,5194,5180,5522,5118,4813,6471,6832,3330,5286,4821,5035,5120,4956,4693,4992,5097,5195,4668,4606,2345,5249,4728,4932,4172,4361,4668,4076,3372,2270,1972,1689,1878,2483,2596,2037,3156,2816,3494,4192,4373,4161,4119,5670,2772,4746,4033,4517,3874,4821,4031,4344,3983,4480,4215,5131,2616,4419,3517,4605,3858,4069,4009,4082,4546,4204,4281,4069,2982,6553,6129,6542,4357,5744,5268,10007,9062,10549,7414,7239,2892,4417,4022,3543,3909,3715,3120,3430,4461,4422,4010,4194,2323,4411,4467,3265,5277,3267,4838,3949,6160,4853,3974,5009,3222,3377,3106,4269,4933,3257,3838,4346,2874,4414,2807,亞洲
印尼,6887,5694,7313,7774,8189,7234,8880,7685,8418,8399,9373,8523,6741,5310,6973,8298,8223,8187,7736,7032,6320,6753,6773,7059,5002,5580,6148,7003,9207,9607,7176,9528,7366,7467,8315,7213,8454,7613,7696,9451,9182,8810,8002,8949,8434,7806,9373,7142,8574,10626,10175,10418,11485,10934,12132,12180,14112,13635,12042,11703,11065,8002,12147,11332,13074,10677,13787,12653,12310,16733,12793,11742,11456,13088,12621,11160,14865,13728,16703,17963,15191,15274,14658,12909,15407,11886,13543,12787,16593,14514,21701,15008,16902,15798,16778,18993,19092,13335,19214,17098,15968,20578,23425,25395,24139,21774,17325,11916,10787,9536,14334,15505,10763,14956,16780,16366,19671,14251,14895,13563,16369,11644,16790,15770,16661,11937,14867,17334,14760,16745,19494,17686,15236,15797,18538,17073,20557,19744,19580,17443,16595,20796,17398,19904,18340,17720,20324,20294,17442,15723,23732,16412,18774,18182,14503,15913,21429,14427,17620,16974,16310,15402,16068,14157,21038,18138,22064,18603,14164,17962,18940,19415,17930,20596,20494,22487,17746,19441,16265,17977,22574,13370,18657,18424,18353,15041,13666,14528,17579,13621,12609,10386,亞洲
日本,92689,81695,98727,110813,103672,100490,111458,98312,101424,107488,105833,92203,71059,78344,83979,83667,70562,74914,70858,59244,62789,84108,65420,69622,58055,55035,85917,83566,75417,82950,88709,74054,80628,91446,79169,91902,76911,75752,104112,94104,77879,91075,88763,87012,93389,103467,116301,118074,93590,117062,130260,115522,112061,123193,125722,122984,126735,132957,138302,127220,127426,97395,135747,131018,130904,122992,119849,115030,124238,136655,123566,115915,101948,126112,133397,129315,126073,125205,137504,122842,121856,132751,131251,119646,114773,94946,132318,135495,125491,124288,139927,124038,131673,132047,120127,136063,136776,109486,150887,131496,115305,133312,128410,125953,125871,118107,103269,83783,60459,82789,93729,88022,86793,103526,100292,105558,113558,112348,121473,127646,118067,116182,151901,131555,144773,141352,136444,151063,137945,139766,140163,133049,130438,128446,141915,124499,130407,131174,126908,128528,120264,136215,118913,118179,101916,118504,119527,121196,122640,121561,130806,114310,120882,125550,101881,112244,110412,93239,121324,105391,104473,121122,109948,96474,101709,99923,100272,117734,89031,95964,118961,114233,93917,117253,110274,105940,104156,101411,102926,107303,97172,85405,123735,99384,98377,108595,99366,101829,101902,101685,103768,105537,亞洲
韓國,19265,20388,23342,26685,24841,23983,26393,23629,24549,24126,22987,21289,19286,19121,19870,21017,17766,17034,19572,16703,15347,21545,16909,23116,19042,17217,27505,25449,23376,22064,22190,19074,23437,23546,21187,24012,24442,20735,27399,24836,21974,23667,25255,24463,25140,26862,30193,26089,26956,28891,33267,27601,34873,32753,33271,31376,33828,37030,37109,34097,37890,24878,36553,31906,35270,31468,36597,33003,37745,40394,45309,35614,34371,40009,36450,35208,40103,36100,44000,41470,42019,49728,47913,41624,46066,31389,41290,43941,40643,40807,48492,42057,41848,39829,39872,42395,42078,31947,40367,34378,36291,39002,38337,37438,35559,31158,27606,19623,14891,21229,27123,25907,27906,29748,28332,32350,33700,32023,38080,35643,38194,30611,43735,38061,41230,42362,41488,49768,43204,49340,45868,43707,46439,39836,49344,47767,51299,41865,43917,41729,41186,44680,43033,34154,39229,39385,38273,39618,38334,36143,38044,34499,35979,36124,34850,36614,43028,30751,45116,42759,37467,39272,39712,33741,39834,40247,34132,42243,36320,31996,41135,35185,33910,41232,40983,40066,35390,33268,41122,36745,37483,31134,41778,35378,35243,36238,31462,29562,30443,32957,37234,33812,亞洲
中國大陸,16312,9988,15227,16940,18133,17147,17477,15383,16357,17744,18021,15711,15503,12069,17479,18636,16194,15228,16563,16479,14807,20803,17067,18802,16730,13665,24042,23945,22304,23186,23111,22374,25489,25743,26241,28929,27501,19805,31779,31786,29195,30617,29319,32136,34804,32082,39772,40635,35721,35611,45559,41618,48125,50097,44920,48075,50654,52210,54370,55817,54718,34768,53271,52608,56856,51637,51301,55021,54009,59609,64350,59143,57624,51117,63554,65457,65200,66835,71075,75798,70062,75887,76096,69297,77036,53299,68792,79092,78836,77287,85253,76456,80731,80870,78699,85087,89684,56976,90192,86453,89173,90414,89892,97304,85760,77908,72896,60126,44334,46935,67544,58505,58960,67246,66744,70825,81670,73438,87759,82674,85832,65122,88750,83902,102856,97731,96601,102874,99045,100399,109938,102609,109327,72678,120723,113880,120363,105583,112378,112376,111769,105321,100305,97531,92748,83782,110424,108579,111043,98183,108041,95516,106784,101547,93504,102906,121794,67937,109622,106897,103860,104903,112971,98174,110246,109969,102652,115815,112386,78419,127635,123038,118149,135970,129654,124554,126962,115042,137150,124295,131069,91802,115239,114751,115053,112762,113518,121773,112314,122479,129207,121294,亞洲
馬來西亞,12159,10651,17206,14027,14148,13160,16745,14764,16017,13778,13010,11071,10965,11039,12752,13106,10870,10642,11431,11994,12897,15053,10888,11407,11671,8283,15174,14167,12239,11749,12416,10558,12654,11957,11158,12559,11624,11218,15424,14746,12164,13810,12967,13258,14678,13933,15071,15355,12861,15342,16067,13997,16694,15210,15461,16975,15367,15166,14031,14778,12451,10434,12167,13318,13967,14302,14821,13857,15438,16933,15903,14506,12765,12983,16417,15108,22175,17480,16404,17300,16749,17306,17287,15097,14913,9924,18359,18591,16575,18469,19445,17852,17533,18258,15631,18188,15953,13444,17754,18874,21088,18858,19955,23840,19705,16074,12915,13859,7048,9740,9476,10936,12044,12746,14080,15203,15286,14582,14078,15028,17890,15300,22214,16953,22700,21193,24872,21243,19556,20097,22165,19231,18380,16977,19739,20177,20935,20701,23146,22457,21557,30546,19959,18757,18576,16776,20173,17949,21024,17436,19153,22789,22808,24160,16983,14830,19646,13824,16716,21453,20258,21265,21933,24219,25395,18944,20746,17055,16062,16022,26266,25032,26145,25231,28446,20973,26471,17482,20392,16996,22301,12143,20414,18036,17679,18550,18255,15536,15761,16109,16237,16056,亞洲
新加坡,9843,8151,11252,13679,15270,16452,16252,14438,15658,13186,11790,11003,9993,9924,9541,10090,8878,8516,10732,8956,9561,10977,8900,8832,9724,7256,11788,10884,10351,10482,10380,9639,11166,11889,10100,9656,11030,9367,11702,10258,9744,10500,11325,11477,12100,11317,12518,12304,10741,12072,13340,11909,13265,11673,11758,12047,12113,12782,12555,10979,12483,8555,12303,11816,13546,13031,14402,12798,13762,16167,16863,14204,13420,16034,15243,13613,14016,12988,14384,14466,14753,14037,12980,10351,14174,9324,11850,13895,11983,12533,13921,14571,13881,16122,12829,12527,13994,9785,11895,14750,12018,14001,15276,16620,14859,13507,8537,6137,7320,6579,8750,14962,11723,12741,13370,14580,16625,14592,18946,18338,18515,16278,21019,17595,20011,20878,25857,21506,21472,19796,20203,18581,21961,15208,19093,19921,24003,17911,21057,21794,16552,20686,19343,16351,20459,17054,23426,22570,21838,20501,22031,21808,19786,18420,15224,17450,20237,19188,20161,21308,25952,20503,22342,18527,20039,23678,18327,23472,20300,19964,22577,22528,19594,21329,21729,22579,21733,21339,19668,20013,21819,14380,20780,20119,18307,18913,20447,19157,18226,18792,18746,15662,亞洲
泰國,7635,6841,6504,6734,8750,6951,8102,6693,7015,8071,7411,5979,6505,6090,6268,7684,6559,6350,6533,5122,5142,6542,5192,5972,5851,4142,7513,7639,7152,6731,6514,5170,5675,6212,6185,6784,6151,5786,7464,6435,6555,7367,6803,6449,7416,6450,7417,7707,6910,7561,8827,6806,8565,9001,7609,8054,7635,8394,7052,7006,8361,6253,7746,6961,7523,7225,7295,6975,8373,8986,9446,7886,7634,8514,8708,8496,9575,9076,9404,9742,9358,10022,8926,8634,9873,8650,9998,10562,11149,10194,10398,8986,9568,10588,8977,9954,9209,8050,11065,8380,8337,8999,8969,8716,8959,7664,7463,6527,4437,6551,7624,6331,7282,7633,7713,7731,7664,7995,8940,8738,8881,8352,10336,8175,10133,10567,10219,11556,10300,10493,11006,11013,11322,10198,12788,10322,13030,11506,11977,11459,10391,10028,8545,7461,6857,7900,10371,9232,11251,9116,10039,9221,10060,9389,8039,8148,10344,7056,9536,9482,8842,9900,9479,7865,9428,10651,9183,9658,8763,9040,11717,11466,9850,12419,11507,9955,11923,9873,11744,11993,11136,9789,11912,9744,10422,10332,10604,10679,9598,10124,10230,10127,亞洲
越南,1304,788,1196,1311,1768,1091,1176,1210,1228,1286,1229,1188,1457,830,1388,1240,1133,1153,1233,1187,1072,1438,1092,1161,1057,848,1450,1585,1490,1289,1340,1214,1506,1482,1278,1262,1344,700,1493,1442,1224,1256,1203,1217,1442,1547,1381,1668,1382,1234,1741,1613,1775,1540,1730,1839,1859,2126,1836,1753,2133,1092,1810,1810,1847,1650,1790,1925,2132,2360,2155,1892,1999,1716,2326,2188,2159,2063,2166,2513,2450,2988,2742,2413,2935,1885,2439,3033,2804,2972,3236,2778,3030,3183,2834,3154,3106,2179,3483,3061,3196,3195,3750,3736,3596,3527,2698,2619,1952,1766,2726,2439,2228,2676,2733,2632,2978,2720,2748,2846,2951,2098,2710,2882,3277,3244,3318,4051,3702,4170,3960,4118,4304,2614,4380,3853,3981,4522,4647,5621,4711,5908,4680,5159,5311,4608,5306,4617,4859,5758,7454,6256,6700,6801,4802,5624,7031,3024,6000,6811,6731,8365,6290,5923,7302,7601,6323,6509,6932,4768,7034,7774,5810,6674,6020,5914,5962,6292,7372,6961,7756,5117,6955,5714,5976,7491,6002,8028,7283,6451,6453,6481,亞洲
科威特,2030,2016,1683,2063,4417,115,1901,2237,4104,1488,3691,5110,1881,1827,1852,4788,2566,4954,5353,1626,3147,3622,4049,2681,609,2577,3406,6428,3553,3875,3891,2540,4717,6558,2626,3857,5966,4901,2903,7498,6955,6660,2018,5861,5446,6981,4812,8996,7065,11762,3253,5981,7526,8417,9036,6321,7928,8069,5564,11843,10986,7210,8143,14644,8233,13818,13482,9295,17538,13347,12225,9452,12298,17580,10889,15885,20423,11245,10655,19822,13866,5710,11568,12902,11981,11075,13725,12318,19668,11399,9988,19299,11178,17179,14907,35897,13478,24974,30564,12083,27829,21096,28430,24676,25780,22035,10484,11779,5775,6959,13359,8207,13453,9280,20861,19346,14267,10741,11340,16929,20978,10826,17000,20706,18669,18602,10304,14458,15825,9984,19652,16605,21931,16625,19594,15604,18248,19101,22646,14077,13880,17616,12841,34678,18606,22576,26448,28633,21157,17664,22391,18932,17381,16213,26521,18848,26546,18911,23999,11716,25187,13252,14697,21179,23565,18834,25068,26452,15225,13372,24815,18684,12267,16245,17756,28488,6660,19622,17783,10825,8519,7726,12499,10644,11110,9073,14820,14805,8419,8278,10618,9005,中東
